AILI(sub, obj, type, content, context, time)
ThoughtPositive(987, 989, Positive, I think I like 989, null, 0)
ThoughtPositive(989, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(991, 995, Positive, I think I like 995, null, 0)
ThoughtPositive(993, 991, Positive, I think I like 991, null, 0)
ThoughtPositive(995, 989, Positive, I think I like 989, null, 0)
SpeechGreet(987, 993, Positive, Nice to meet you!, null, 4)
SpeechPositive(987, 993, Positive, This is fun!, null, 4)
SpeechGreet(995, 991, Positive, Nice to meet you!, null, 6)
SpeechPositive(995, 991, Positive, This is fun!, null, 6)
SpeechGreet(987, 991, Positive, Nice to meet you!, null, 24)
SpeechPositive(987, 991, Positive, This is fun!, null, 24)
SpeechGreet(991, 993, Positive, Nice to meet you!, null, 49)
SpeechPositive(991, 993, Positive, This is fun!, null, 49)
SpeechPositive(987, 991, Positive, This is fun!, null, 57)
SpeechGreet(995, 987, Positive, Nice to meet you!, null, 68)
SpeechPositive(995, 987, Positive, This is fun!, null, 68)
SpeechPositive(991, 987, Positive, This is fun!, null, 87)
SpeechPositive(991, 987, Positive, This is fun!, null, 88)
SpeechPositive(987, 995, Positive, This is fun!, null, 95)
SpeechPositive(991, 995, Positive, This is fun!, null, 97)
SpeechPositive(987, 995, Positive, This is fun!, null, 103)
SpeechGreet(993, 995, Positive, Nice to meet you!, null, 121)
SpeechPositive(993, 995, Positive, This is fun!, null, 121)
SpeechPositive(987, 991, Positive, This is fun!, null, 136)
SpeechPositive(995, 993, Positive, This is fun!, null, 137)
SpeechPositive(995, 991, Positive, This is fun!, null, 146)
SpeechPositive(987, 993, Positive, This is fun!, null, 148)
SpeechPositive(987, 995, Positive, This is fun!, null, 165)
SpeechPositive(993, 987, Positive, This is fun!, null, 175)
SpeechPositive(993, 991, Positive, This is fun!, null, 176)
SpeechPositive(991, 993, Positive, This is fun!, null, 293)
SpeechNegative(993, 991, Negative, Not so fun ..., null, 294)
SpeechPositive(991, 993, Positive, This is fun!, null, 318)
SpeechPositive(991, 993, Positive, This is fun!, null, 321)
SpeechGreet(995, 989, Positive, Nice to meet you!, null, 336)
SpeechNegative(995, 989, Negative, Not so fun ..., null, 336)
SpeechPositive(993, 991, Positive, This is fun!, null, 370)
SpeechPositive(995, 987, Positive, This is fun!, null, 387)
SpeechGreet(989, 987, Positive, Nice to meet you!, null, 422)
SpeechPositive(989, 987, Positive, This is fun!, null, 422)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 423)
SpeechPositive(995, 989, Positive, This is fun!, null, 423)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 447)
SpeechPositive(995, 987, Positive, This is fun!, null, 449)
SpeechProposal(995, 987, Proposal, Will you come to the prom with me!, null, 449)
ThoughtConflict(987, 995, Conflict, Should I go to the Prom with 995? I really want to go with 989, null, 449)
SpeechRejection(987, 995, Rejection, I'm Sorry 995, I don't want to go to the Prom with you., null, 449)
SpeechProposal(987, 995, Proposal, Will you come to the prom with me!, null, 450)
ThoughtConflict(995, 987, Conflict, Should I go to the Prom with 987? I really want to go with 989, null, 450)
SpeechRejection(995, 987, Rejection, I'm Sorry 987, I don't want to go to the Prom with you., null, 450)
SpeechNegative(991, 993, Negative, Not so fun ..., null, 484)
SpeechPositive(987, 995, Positive, This is fun!, null, 553)
SpeechPositive(993, 991, Positive, This is fun!, null, 647)
SpeechPositive(989, 987, Positive, This is fun!, null, 648)
SpeechNegative(987, 989, Negative, Not so fun ..., null, 662)
SpeechNegative(989, 995, Negative, Not so fun ..., null, 687)
SpeechPositive(995, 989, Positive, This is fun!, null, 699)
SpeechPositive(995, 987, Positive, This is fun!, null, 767)
SpeechNegative(987, 993, Negative, Not so fun ..., null, 884)
SpeechPositive(989, 995, Positive, This is fun!, null, 896)
SpeechPositive(995, 991, Positive, This is fun!, null, 932)
SpeechGreet(989, 991, Positive, Nice to meet you!, null, 951)
SpeechPositive(989, 991, Positive, This is fun!, null, 951)
SpeechPositive(991, 989, Positive, This is fun!, null, 953)
SpeechPositive(995, 989, Positive, This is fun!, null, 967)
SpeechNegative(995, 991, Negative, Not so fun ..., null, 1023)
SpeechPositive(995, 989, Positive, This is fun!, null, 1026)
SpeechPositive(993, 987, Positive, This is fun!, null, 1031)
SpeechPositive(991, 995, Positive, This is fun!, null, 1078)
